Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,133675,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907,04/01/2024,Upcoming,86,46.5,80.5,-45.4,47,81.1,347.8,2.6,709465,3789318.1,,6210013,,48.9,88.2,-39.9,52.5,91.9,384.6,2.9,824915.1,3728708.1,,6543318.8,73,55.6,105.1,-29,57.8,107.4,456.7,3.4,1046512.1,3863610,,7434309.8,65,59.8,119.1,-14.8,59.8,119.2,499.1,3.7,1261254.8,3689188.2,,7992590.1,76,66.6,148.4,-27.8,68.1,150.1,75,68.2,149.7,-26.3,-26.3,71.5,153.2,72,72,153.9,-23,73.7,155.6,56,73.4,158.5,-6.5,77.1,162.4,74,81.3,166.9,-26.2,81.5999999999999,167.2,81,71,149.9,-34.5,70.7,149.699999999999,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0010/002,Argonaut Hotel-SV,495 JEFFERSON ST,94109,180000,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0010/002,1907,04/01/2025,Upcoming,98,40.8,74.9,-52.4,40.8,74.9,414.3,2.3,966697.8,4042700.1,,7341073.5,,27.2,50.4,-67.7,27.2,50.4,289.9,1.6,657059.9,2659900,,4901788.5,,,,,,,,,,,,,91,61.3,110,-37.8,61.3,110,667.4,3.7,1374561.2,6344707.1,,11034710.5,79,60.8,121.2,-26.8,60.8,121.2,77,59.6,122.5,-24,-24,59.4,121.8,84,58.1,122.6,-32,57.8,121.8,79,63.6,129.5,-26.5,63.6,129.5,78,67.9,136.1,-25.3,67.9,136.1,95,55.9,115.1,-48,55.9,115.1,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0011/007,Anchorage Square (2800 Leavenworth),2800 LEAVENWORTH ST,94133,485846,Commercial,Strip Mall,https://sfplanninggis.org/PIM/?tab=Property&search=0011/007,0,04/01/2024,,,20.6,54.7,-76.1,20.6,54.7,443.1,1.4,1775122.4,528747,,6585465.3,,66.1,148.4,66.2,66.1,148.4,498.5,4.1,1605495,2548221.7,,8026171.3,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,87.1,-29.3,27.7,87.1,,,,,,,,,81.3,188.4,53,81.3,188.4,,73.8,173.3,40.7999999999999,73.8,173.3,,92.4,197.2,60.2,92.4,197.2,,92.2,196.6,59.7,92.2,196.6,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Violation - Insufficient Data,,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,
0011/008,Anchorage Garage,500 BEACH ST,94133,198525,Commercial,Strip Mall,https://sfplanninggis.org/PIM/?tab=Property&search=0011/008,1974,04/01/2024,,,,,,,,,,410000,488072,,1886992.1,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,37.4,-83.6,17.2,37.4,219.7,1.1,642330.5,1229714,,3421346.1,,15.1,31.9,-86.1,15.1,31.9,,,,,,,,,27,74.7,-68,27,74.5,,27.5,76.9,-67.5999999999999,27.5,76.9,,27.3,74.8,-68.5,27.3,74.8,,25.9,72.3,-69.5999999999999,25.9,72.3,,0,,,0,,2021 - Violation - Insufficient Data,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Complied,,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Complied,
0012/001,211 Jefferson St,2739 TAYLOR ST,94133,40052,Commercial,Retail Store,https://sfplanninggis.org/PIM/?tab=Property&search=0012/001,1953,04/01/2025,,95,22.3,60.3,-51.7,22.3,60.3,53.6,1.3,247577.9,47043.7,,891779.7,,44.4,106.8,-19.5,44.4,106.8,112.6,2.8,403760.7,400406.2,,1778038.1,31,66.8,159.4,21,67.2,159.8,177.5,4.4,598585.3,634160,,2676533.3,40,57.7,132.5,10,57.7,132.5,151.3,3.8,482439.6,665159,,2311243.2,38,68.5,176.5,14.8,68.5,176.5,40,63.8,167.7,12.3,12.3,63.8,167.7,40,66.3,172.6,12,65.8,171.1,,,,,,,,,,,,,43,35.2,117.5,8.8,35.2,117.5,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Complied,,Violation - Insufficient Data,
0012/007A,DiMaggio Building,243 JEFFERSON ST,94133,17311,Commercial,Restaurant,https://sfplanninggis.org/PIM/?tab=Property&search=0012/007A,1937,04/01/2025,,,110.2,184.2,-67.9,110.2,184.2,106.3,6.1,198636.2,1229679,,1907425.7,,101.5,167.8,-70.7,101.5,167.8,101.3,5.9,177495.1,1151859.1,,1757472.4,,144.2,241.8,-57.9,147.7,245.5,148.1,8.6,262170.2,1601356.6,,2495881.3,,44.1,84.5,-85.3,,,47.1,2.7,110877.5,,,762759.8,,193.8,309.7,-28.3,193.8,309.7,,238.2,428.7,-0.8,-0.8,238.2,428.7,,250,466.8,8,250,466.8,,285.3,579.9,34.2,282.5,571.3,,308.399999999999,598.7,38.6,309,599,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0013/005,2720 TAYLOR ST,2720 TAYLOR ST,94133,46962,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0013/005,1974,04/01/2024,Upcoming,,,,,,,,,,,,,,56.8,145.4,30.6,59.2,147.9,172.1,3.7,674291.8,367964.5,,2668648.4,7,83.9,215.2,93,85.1,216.5,268.3,5.7,1000097.8,525593.6,,3937927.5,22,61.1,152.2,43.6,61.3,152.4,193.4,4.1,692379.4,508402,,2870800.6,39,64,176.9,12.1,65.3,178.4,42,61.2,168.8,8.8,8.8,61.2,168.8,37,67.1,181.6,15,67.1,181.6,38,64.1,177,13.7,65.8,178.8,45,63,167.9,5.6,63.1,168.1,72,65.3,184.6,-20.5,64.0999999999999,183.3,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0013/006,2770 TAYLOR ST,2770 TAYLOR ST,94133,40017,Commercial,Mixed Use Property,https://sfplanninggis.org/PIM/?tab=Property&search=0013/006,1966,04/01/2027,,,77.3,150.3,68.3,77.3,150.3,176,4.4,463258.2,1512309.1,,3092946.4,,49.8,99.9,11.9,49.8,99.9,120.1,3,319247,901976.2,,1991247.3,,104.8,193.7,116.9,106.7,195.6,256,6.4,560177.7,2284421.3,,4195748,,112.8,205.5,130.2,112.3,205,274.2,6.9,583791.8,2520912.4,,4512810.2,,113.4,229.9,86.7,115.4,231.9,,121.1,240.9,95.7,95.7,121.1,240.9,,123.1,246.5,100,122.2,243.6,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,
0055/016-A,Wharf Plaza Apartments -1855,1855 Kearny Street,94133,45812,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0055/016-A,1983,,,,31.2,42.6,-63.9,31.4,42.9,77.8,1.7,75874.3,1169999.7,,1428882.9,,31.9,40.9,-65.4,33.5,43.2,80.2,1.8,56568.8,1269857.3,,1462870,,40.5,68.1,-42.3,41.7,70.3,107.4,2.3,196285.3,1186000,,1855725.6,,,,,,,113.6,2.5,198569,1240349.4,,1917866.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0013/009,2601 MASON ST,2601 MASON ST,94133,25882,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0013/009,1959,04/01/2022,,,,,,,,,,,,,,,55.6,75.9,-35.3,62.8,83.5,79.8,3.1,76236.9,1177987.1,,1438107.5,62,77.8,106.6,-10.3,81.3,110.3,113.3,4.4,108280.4,1642932,,2012384.7,57,112.6,156.5,-5.4,110.7,154.5,101,6.4,101843.2,1440605.5,,1788094.6,40,124.8,174.7,7.5,131.2,181.3,55,124.2,183.3,-3.9,-3.9,132.1,191.6,57,120.4,182.9,-6,125.9,188.7,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Exempt,Change in Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0013/016,The Wax Museum Building,145 JEFFERSON ST.,94133,121481,Commercial,Museum,https://sfplanninggis.org/PIM/?tab=Property&search=0013/016,0,04/01/2026,,,29.4,77.8,-30.6,29.4,77.8,213.7,1.8,954396.2,312615,,3569015.2,,34.5,92.1,-17.7,34.5,92.1,273.5,2.3,1138496.5,301504,,4186054.5,,85.9,192.3,71.6,85.9,192.3,677.1,5.6,2075937.4,3354748.3,,10437847.5,,60.4,151.5,35.2,60.4,151.5,495.5,4.1,1791983,1219920.2,,7334166.9,,123.2,332.8,291.1,123.2,332.8,,109,277.6,226.1,226.1,107.1,271.4,,113.4,292.6,244,111.9,287.7,,119,305.5,259,116.2,296.9,,117.1,296.3,248.2,117.1,296.3,,117.2,319.7,275.6,118.3,323.1,,93.3,292.8,244.1,94.4,296.5,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0014/001,Radisson Fisherman's Wharf,250 BEACH ST,94133,283951,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0014/001,1963,04/01/2027,,100,27.8,62.4,-60,28.2,61,502.3,1.8,1579076.8,2506599.8,,7894410.6,,18.8,35.7,-76.9,18.8,35.7,318.3,1.1,758928.9,2760600,,5350065.7,,39.1,72,-53.9,38.9,71.6,655.5,2.3,1475629.8,6057800.1,,11092649.7,69,51.3,94.4,-15.1,51.3,94.4,703.7,3.1,1529289.2,6329162.8,,11547098.4,69,50.4,93.9,-14.8,50.4,93.9,39,56.4,103.1,9.7,9.7,55.8,101.3,32,75,133.8,16,74.2,131.4,31,76.2,132.8,18,76.2,132.8,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,
0018/001,One Beach Street,1 BEACH ST,94133,104424,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0018/001,1971,04/01/2024,Upcoming,,,,,,,,,,,,,,18.1,33.1,-78.1,20.9,36,111.5,1.1,245692.1,1052000.5,,1890302.1,,41.3,88.7,-50.9,43,90.5,275.8,2.6,793368.5,1601646.2,,4308619.8,,44.2,95.5,-47.1,43.8,95.2,295.8,2.8,858631.2,1683733.6,,4613383.7,90,49.9,103.6,-42.6,51.8,104.9,90,52,121.6,-44.8,-44.8,55.3,125,91,49.6,118.6,-47,51.7,120.8,92,50.4,116,-49,50.4,116,76,76.7,166.9,-28.2,76.7,166.9,,,,,,,75,103.9,,-26.6,101,,2021 - Exempt,Vacancy,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,
0018/004,"2300 Stockton Street, LLC",2340 STOCKTON ST,94133,64530,Commercial,College/University,https://sfplanninggis.org/PIM/?tab=Property&search=0018/004,1970,04/01/2024,Upcoming,,84.3,113.1,-37.4,84.3,113.1,204,4.6,183620.9,3127461.3,,3753975.9,,9.4,25.9,-85.7,9.4,25.9,27.6,0.6,119595.4,10065.8,,418125.3,,16.4,40.4,-77.6,16.4,40.4,49,1.1,172905.8,140360,,730314.8,,73.4,118,-34.7,72.3,116.9,191.6,4.3,305508.1,2225382.8,,3267776.6,,71.1,137.5,-47.6,74.8,142.9,,78.4,146.5,-44.2,-44.2,81.1,149.4,,82.8,165.9,-37,87.7,171,,33.4,56.8,-78.4,37.5,61.1,,62.5,88.6,-66.3,62.8,88.9,,109.8,221.9,5.6,106.6,218.5,,118.3,,-3.4,117.1,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0018/005,100 NORTH POINT ST,100 NORTH POINT ST,94133,60000,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0018/005,1969,04/01/2027,,83,73.9,148.2,-42.1,73.9,148.2,253.3,4.2,710363.1,2007671.6,,4431430.9,,69.2,149,-42.8,69.2,149,255.1,4.3,766681.4,1538725,,4154642.2,61,112.4,222.2,-14.8,114.3,224.3,420,7,1047630.7,3167011.9,,6741528.2,61,112.4,216.5,-14.6,112.6,217.2,416.6,6.9,989957.2,3363984.8,,6741719.4,62,116.7,233.6,-12.6,119.3,236.5,68,101.5,213,-19.2,-19.2,106,217.8,64,108,227.7,-15,109.3,227.5,71,92.3,205.2,-22.4,94.4,204.7,67,104.9,219.1,-18.5,104.9,219.1,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,
